Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,5,Elementary Korean,Kijoo Ko; Meehyei Lee; Seung-Eun Chang,21715,1,13,3,,,,,,,,,,,,21
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,6,Elementary Korean,Kijoo Ko; Kyung-Ah Kim,21718,,8,4,1,,1,,,,1,,,,,20
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,7,Elementary Korean,Boyoung Kim; Kijoo Ko; Seung-Eun Chang,21721,2,13,5,,1,,,,,,,,,,22
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,8,Elementary Korean,Junghee Park; Kijoo Ko,21724,1,11,6,1,,,,,,,,,,,21
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,9,Elementary Korean,Kijoo Ko; Meehyei Lee,21727,,7,6,4,,,,,,,,,,,18
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1AX,1,Elem Korean Heritag,Kyung-Ah Kim; Minsook Kim,21730,2,7,4,,1,,,,,,,,,,14
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1AX,2,Elem Korean Heritag,Kyung-Ah Kim; Minsook Kim,21733,1,11,2,1,1,,,,,,,,,,16
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,7A,1,Premod Korean Lit,Hyun Suk Park,21736,3,20,4,2,5,,1,3,,,,,1,,49
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,10A,1,Intermediate Korean,Jiyoung Kim; Minsook Kim,21748,2,11,4,,1,,,,,,,,,,21
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,10A,2,Intermediate Korean,Jiyoung Kim; Minsook Kim,21751,,18,3,,1,,,,,,,,,,24
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,10AX,1,Int Korean Heritag,Jiyoung Kim; Soojin Lee,21757,,5,3,,3,,,,,,,,,,12
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,10AX,2,Int Korean Heritag,Jiyoung Kim; Soojin Lee,21760,,9,6,1,,,,,,,,,,,16
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,100AX,1,Adv Korean Heritag,Soojin Lee,21772,,16,1,,,,,,,,,,,,19
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,100AX,2,Adv Korean Heritag,Soojin Lee,21775,3,15,1,,,,,,,,,,,,21
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,101,1,4th Year Read--Lit,Junghee Park,21778,,17,4,,1,,,1,,,,,,,23
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,111,1,Fifth-Yr: Adv Texts,Meehyei Lee,21781,,16,5,,,,,,,,,,,,21
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,155,1,Mod Korean Fiction,Youngmin Kwon,21783,5,12,3,6,,,,,,,,,,,29
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,157,1,Contemp Korean Lit,Youngmin Kwon,21832,3,8,1,8,3,1,1,,,,,,,,27
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,170,1,Cultural Encounters,Hyun Suk Park,21784,,14,1,,,,,,,,,,,,17
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,187,1,Hist And Memory,Jinsoo An,21787,,6,1,1,1,,,,,,,,,,17
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,188,1,Cold War Culture,Jinsoo An,21793,,6,10,4,1,3,,,,,,,,,27
2015 Fall,Economics,ECON,Economics,1,1,Intro To Economics,Martha Olney,22303,9,76,95,89,128,106,84,49,21,,1,,8,4,712
2015 Fall,Economics,ECON,Economics,C3,1,Intro To Env Econ,Peter Berck,22378,,16,4,8,3,9,4,10,,,1,,,,60
2015 Fall,Economics,ECON,Economics,98,6,Directed Group Stdy,Martha Olney,22396,,,,,,,,,,,,,,,32
2015 Fall,Economics,ECON,Economics,100A,1,Micro Analysis,Archana Dube,22399,34,49,50,56,62,36,29,32,16,11,12,4,16,2,417
2015 Fall,Economics,ECON,Economics,100B,1,Macro Analysis,Steven Wood,22447,,33,60,67,74,48,39,26,27,,4,,16,1,433
2015 Fall,Economics,ECON,Economics,101A,1,Econ Theory--Micro,Stephen Bianchi,22495,5,29,15,10,21,9,5,5,3,2,3,,,4,116
2015 Fall,Economics,ECON,Economics,101B,1,Econ Theory--Macro,Raymond Hawkins,22510,3,17,9,9,7,5,3,1,,,,,1,,57
2015 Fall,Economics,ECON,Economics,C102,1,Nat Res Econ,Larry Karp,22519,1,7,4,9,12,3,,2,,,,,,,43
2015 Fall,Economics,ECON,Economics,C103,1,Intro Math Economic,Haluk Ergin,22534,,2,1,5,2,1,1,,,,2,,1,,20
2015 Fall,Economics,ECON,Economics,105,1,Hist Econ Thought,Joseph Lough,22537,,5,52,31,19,6,1,,,,1,,1,,129
2015 Fall,Economics,ECON,Economics,C110,1,Game Theory Soc Sci,Robert Powell,22540,,50,18,38,18,18,22,13,6,,3,,1,,220
2015 Fall,Economics,ECON,Economics,115,1,20th Cen World Econ,Calanit Kamala,22573,3,43,17,11,10,8,5,6,2,,2,,,,119
2015 Fall,Economics,ECON,Economics,119,1,Psych And Econ,Daniel Acland,22594,10,21,31,27,25,20,15,6,2,,,,,4,178
2015 Fall,Economics,ECON,Economics,131,1,Public Economics,Danny Yagan,22615,4,11,17,13,15,10,5,4,,1,,,1,,97
2015 Fall,Economics,ECON,Economics,136,1,Financial Economics,Raymond Hawkins,22639,9,48,39,30,26,14,7,6,1,,2,,,6,196
2015 Fall,Economics,ECON,Economics,140,1,Econometrics,Evgeniya Duzhak,22687,,41,19,28,41,29,21,25,12,8,4,,5,,239
2015 Fall,Economics,ECON,Economics,141,1,Econometric Analys,James Powell,22714,2,13,9,13,4,5,3,,2,,,,,,53
2015 Fall,Economics,ECON,Economics,C142,1,Appl Metric/Pub Pol,David Card,22723,7,19,6,5,5,,,,,,,,,,42
2015 Fall,Economics,ECON,Economics,155,1,Urban Econ,Edmund Egan,22738,4,15,40,25,18,2,1,3,,,,,1,,119
2015 Fall,Economics,ECON,Economics,164,1,Econ Systems Sem,Joseph Lough,22741,,4,6,4,2,,,,,,,,,,18
2015 Fall,Economics,ECON,Economics,C171,1,Economic Develop,Aprajit Mahajan,22744,2,32,23,10,14,5,13,2,3,,,,,,108
2015 Fall,Economics,ECON,Economics,172,1,Econ Dev-Case Study,Gerard Roland,22759,6,14,12,7,6,,,1,,,,,1,3,52
2015 Fall,Economics,ECON,Economics,C181,1,International Trade,Andres Rodriguez-Clare,22774,4,33,26,18,16,5,4,,1,,,,,,113
2015 Fall,Economics,ECON,Economics,182,1,Intl Monet Econ,Galina Hale,22795,7,9,31,31,14,15,14,4,2,,3,,,1,157
2015 Fall,Economics,ECON,Economics,191,1,Topic Econ Research,Joseph Farrell,22816,2,8,9,5,4,2,,,,,,,1,1,35
2015 Fall,Education,EDUC,Education,52AC,1,Lang In Society,Anthony Mirabelli,23503,,13,18,1,1,1,,,,,,,,,37
2015 Fall,Education,EDUC,Education,97,48,Field Study,Glynda Hull,23569,,,,,,,,,,,,,,1,22
2015 Fall,Education,EDUC,Education,98,9,Directed Group Stdy,Meckell Milburn; Nailah Suad-Bakari,23605,,,,,,,,,,,,,,1,15
2015 Fall,Education,EDUC,Education,98,15,Directed Group Stdy,Jabari Mahiri; Richard Gibson,23620,,,,,,,,,,,,,,,12
2015 Fall,Education,EDUC,Education,130,1,Know Learn Math Sci,Edward Ham,23689,5,17,3,3,4,1,2,1,,,,,1,,38
2015 Fall,Education,EDUC,Education,131AC,1,Sci And Math Equity,Heinrich Mintrop,23692,,14,11,1,2,,1,,,,,,,,29
2015 Fall,Education,EDUC,Education,W140A,1,Art Of Making Mean,Glynda Hull,23697,7,17,12,7,5,,,2,1,,,,1,2,58
2015 Fall,Education,EDUC,Education,140AC,1,Liter:Ind & Soc Dev,Glynda Hull,23695,10,21,11,6,6,,2,1,,,,,1,3,66
2015 Fall,Education,EDUC,Education,C148,1,Educ And Intl Dev,Erin Murphy-Graham,23698,,9,8,1,6,,,,,,,,,1,28
2015 Fall,Education,EDUC,Education,158,1,Teach Reading K-8,Anne Cunningham Carson,23701,,7,7,3,1,,,,,,,,,,18
2015 Fall,Education,EDUC,Education,161,1,Digital Learning En,Zachary Pardos,23703,5,8,1,2,,2,,,1,,,,,,21
2015 Fall,Education,EDUC,Education,C181,1,Race Urban Sch,Kihana Ross; Matthew Horton; Nailah Suad-Bakari,23704,7,11,3,1,,1,,,,,,,,3,26
2015 Fall,Education,EDUC,Education,186AC,1,The Southern Border,Beatriz Manz; Harley Shaiken,23707,4,15,15,4,19,7,4,7,3,,,,,3,103
2015 Fall,Education,EDUC,Education,188,1,Latinas/Os And Ed,Sahara Baquedano-Lopez; Vianney Gavilanes,23749,,24,,,,,,2,,,,,1,,27
2015 Fall,Education,EDUC,Education,190,1,Critical Studies,Erin Murphy-Graham,23752,1,18,5,2,1,,,,,,1,,,,28
2015 Fall,Education,EDUC,Education,190,2,Critical Studies,Erin Murphy-Graham,23755,4,18,2,1,3,3,,,,,,,,1,32
2015 Fall,Education,EDUC,Education,190,3,Critical Studies,Erin Murphy-Graham,23758,,18,5,1,1,2,,,,,,,,,29
2015 Fall,Education,EDUC,Education,190,4,Critical Studies,Erin Murphy-Graham,23761,2,21,3,,1,,,,,,,,,,27
2015 Fall,Education,EDUC,Education,197,37,Field Study,Nailah Suad-Bakari,23830,,,,,,,,,,,,,,,24
2015 Fall,Education,EDUC,Education,197,48,Field Study,Glynda Hull,23833,,,,,,,,,,,,,,1,36
2015 Fall,Education,EDUC,Education,197,50,Field Study,Frank Worrell,23836,,,,,,,,,,,,,,1,15
2015 Fall,Education,EDUC,Education,198,27,Directed Group Stdy,Anthony Mirabelli; Ronald Williams,23920,,,,,,,,,,,,,,,15
2015 Fall,Education,EDUC,Education,198,31,Directed Group Stdy,Anthony Mirabelli; Ronald Williams,23932,,,,,,,,,,,,,,,18
2015 Fall,Education,EDUC,Education,198,35,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,23944,,,,,,,,,,,,,,,22
2015 Fall,Education,EDUC,Education,198,36,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,23946,,,,,,,,,,,,,,,21
2015 Fall,Education,EDUC,Education,198,39,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,24409,,,,,,,,,,,,,,,29
2015 Fall,Education,EDUC,Education,198,40,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,24412,,,,,,,,,,,,,,,14
2015 Fall,Education,EDUC,Education,198,43,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,24421,,,,,,,,,,,,,,,22
2015 Fall,Education,EDUC,Education,198,47,Directed Group Stdy,Anthony Mirabelli,24433,,,,,,,,,,,,,,,16
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9C,1,Programmers' C,Paul Hilfinger,25806,,,,,,,,,,,,,,2,12
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9E,1,Productive Unix Use,Paul Hilfinger,25812,,,,,,,,,,,,,,7,32
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9F,1,Programmers' C++,Paul Hilfinger,25815,,,,,,,,,,,,,,2,23
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9G,1,Programmers' Java,Paul Hilfinger,25818,,,,,,,,,,,,,,3,12
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9H,1,Programmers' Python,Paul Hilfinger,25821,,,,,,,,,,,,,,8,23
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,10,1,Beauty Joy Computng,Joshua Hug,25824,25,106,34,24,40,7,12,3,4,,3,,2,2,327
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61A,1,Str Interp Cmp Prgs,John Denero,25911,57,180,193,241,211,112,38,28,26,,2,,20,4,1276
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61AS,1,Str Interp Comp Prg,Paul Hilfinger,26094,1,2,,2,1,4,1,,3,2,,,4,3,30
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61AS,2,Str Interp Comp Prg,Paul Hilfinger,26097,6,1,,2,,3,1,,2,1,1,,,2,25
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61AS,3,Str Interp Comp Prg,Paul Hilfinger,26100,1,1,1,4,1,2,2,,1,1,2,,,1,27
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61B,1,Data Structures,Paul Hilfinger,26103,51,111,33,36,47,33,18,18,13,12,14,6,27,1,475
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61C,1,Machine Structures,John Wawrzynek; Vladimir Stojanovic,26190,19,100,59,100,177,52,68,73,23,,34,,12,9,742
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,70,1,Discrete Math&P,Jean Walrand; Satish Rao,26337,13,82,86,86,112,54,36,26,21,1,1,,28,,581
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,94,1,Special Topics,Anindita Adhikari,26393,,2,1,1,,,,2,,,,,,,11
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,97,203,Field Study,John Denero,26406,,,,,,,,,,,,,,,73
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,97,210,Field Study,John Denero,25895,,,,,,,,,,,,,,,11
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,1,Directed Group Stdy,Daniel Garcia,26418,,,,,,,,,,,,,,,15
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,3,Directed Group Stdy,Daniel Garcia,26424,,,,,,,,,,,,,,,23
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,47,Directed Group Stdy,Pieter Abbeel,27525,,,,,,,,,,,,,,,50
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,53,Directed Group Stdy,John Denero; Sumukh Sridhara,25859,,,,,,,,,,,,,,,70
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,56,Directed Group Stdy,Andrew Qin; Bjorn Hartmann,25862,,,,,,,,,,,,,,,48
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,100,Directed Group Stdy,Paul Hilfinger,26427,,,,,,,,,,,,,,,12
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,152,Directed Group Stdy,John Denero,26432,,,,,,,,,,,,,,2,199
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,160,1,User Interfaces,Eric Paulos,26514,2,24,52,35,32,18,10,1,1,,,,,,182
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,161,1,Computer Security,Justin Tygar,26529,,27,29,35,29,11,,10,2,,1,,1,,155
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,162,1,Op Sys And Sys Prog,John Kubiatowicz,26556,5,48,62,58,59,34,19,4,9,2,3,,,,313
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,164,1,Prog Lang And Comp,Koushik Sen,26586,2,11,4,12,12,3,3,6,,,,,1,,56
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,168,1,Internet Arch,Scott Shenker,26601,1,48,71,61,81,54,60,36,1,,,,3,,433
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,169,1,Software Engineer,George Necula,26646,4,10,9,10,31,9,11,4,,1,1,,1,,97
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,170,1,Intro Cs Theory,Prasad Raghavendra; Sanjam Garg,26661,13,65,54,73,118,80,23,46,26,,12,,8,2,531
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,176,1,Algo For Comp Bio,Nir Yosef,26727,2,15,5,8,5,7,3,4,1,,3,,,1,56
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,186,1,Intro To Database,Eric Brewer,26757,26,56,101,101,47,54,20,4,1,4,1,,1,,426
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,188,1,Artif Intelligence,Patrick Virtue; Stuart Russell,26799,28,77,60,51,65,28,30,11,6,2,2,,10,2,377
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,189,1,Intro Machine Learn,Alexei Efros; Isabelle Guyon,26847,13,30,27,21,46,22,15,12,7,3,3,1,2,,227
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,194,15,Special Topics,Kurt Keutzer,26874,4,12,12,11,4,2,1,,,,,,,,53
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,194,16,Special Topics,John Canny,26877,,8,28,20,5,3,,,1,,,1,,,70
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,194,26,Special Topics,Alexei Efros,26878,9,32,14,6,4,3,,1,4,,3,,1,,80
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,195,1,Social Implic Comp,John Denero; Joshua Hug,26883,,,,,,,,,,,,,,,188
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,197,201,Field Study,Joshua Hug; Paul Hilfinger,26901,,,,,,,,,,,,,,,54
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,197,203,Field Study,John Denero,26907,,,,,,,,,,,,,,,29
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,197,207,Field Study,Joshua Hug,26918,,,,,,,,,,,,,,,17
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,1,Directed Group Stdy,Daniel Garcia,26919,,,,,,,,,,,,,,,45
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,3,Directed Group Stdy,Daniel Garcia,26925,,,,,,,,,,,,,,,29
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,34,Directed Group Stdy,Angira Shirahatti; Bjorn Hartmann,25888,,,,,,,,,,,,,,,67
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,47,Directed Group Stdy,Pieter Abbeel,27528,,,,,,,,,,,,,,,55
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,50,Directed Group Stdy,John Denero; Thomas Warloe,26927,,,,,,,,,,,,,,,19
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,56,Directed Group Stdy,Andrew Qin; Bjorn Hartmann,25864,,,,,,,,,,,,,,,43
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,100,Directed Group Stdy,Paul Hilfinger,26928,,,,,,,,,,,,,,1,11
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,152,Directed Group Stdy,John Denero,26933,,,,,,,,,,,,,,,66
2015 Fall,Electrical Eng & Comp Sci,EECS,Electrical Eng & Comp Sci,149,1,Intro Embedded Syst,Sanjit Seshia,24500,1,9,10,4,12,6,2,2,,,,,,,47
2015 Fall,Electrical Eng & Comp Sci,EECS,Electrical Eng & Comp Sci,151,1,Intro Dig Inte Cir,John Wawrzynek; Vladimir Stojanovic,24503,1,4,4,3,6,2,3,1,1,,2,,1,,28
2015 Fall,Electrical Eng & Comp Sci,EECS,Electrical Eng & Comp Sci,151LB,101,Dig Des Ic Fpga Lab,John Wawrzynek; Vladimir Stojanovic,24509,,8,1,,,1,,,,,,,,,10
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,16A,1,Design Info Dev I,Ali Niknejad; Anant Sahai,24603,15,257,65,59,35,21,12,7,2,1,1,1,3,2,481
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,16B,1,Design Info Dev Ii,Babak Ayazifar; Claire Tomlin; Elad Alon,24648,8,10,13,5,3,1,,1,1,,,,,,43
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,20,1,Sys And Signals,Babak Ayazifar,24669,4,41,10,8,37,9,6,22,3,2,2,4,1,,152
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,20,2,Sys And Signals,Shyam Parekh,24671,4,6,3,1,5,1,1,2,3,,,,2,,28
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,24,1,Freshman Seminar,Jeffrey Bokor,24735,,,,,,,,,,,,,,,12
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,40,1,Int Micro Circuits,David Allstot; Seth Sanders,24738,2,33,31,32,21,12,11,11,6,3,1,1,2,,170
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,105,1,Micro Dev & Cir,Ming-Chiang Wu,24831,8,6,4,4,4,6,2,3,1,,,,1,,39
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,C106A,1,Intro To Robotics,Ruzena Bajcsy,24870,2,14,,2,4,7,,2,,,,,,,33
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,118,1,Intro Optical Eng,Laura Waller,24852,2,2,2,2,4,3,,,,,,,,,15
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,120,1,Signals And Systems,Murat Arcak,24858,1,13,8,11,9,2,3,3,1,,,,1,,54
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,126,1,Prob & Random P,Kannan Ramchandran,24891,2,12,12,12,9,2,8,4,4,,1,,,5,75
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,C128,1,Feedback Cntrl Sys,Ronald Fearing,24900,2,9,3,1,2,1,,1,1,1,,,,1,22
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,130,1,Ic Devices,Sam Emaminejad,24915,1,5,6,9,1,,,,,,,,,,22
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,137A,1,Elec Power Systems,Alexandra Von Meier,24924,1,9,3,2,6,6,1,5,3,,,,2,,38
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,140,1,Lin Integ Circ,Clark Nguyen,24933,2,2,2,1,2,2,2,,,,,,,,13
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,143,1,Microfab Tech,Ali Javey,24963,2,5,5,3,2,7,1,2,,,,,,1,30
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,147,1,Microelectromec Sys,Kristofer Pister,24993,1,5,4,3,5,,,,,,,,,,18
2015 Fall,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,198,4,Directed Group Stdy,Clark Nguyen,25071,,,,,,,,,,,,,,,20
2015 Fall,Energy & Resources Group,"ENE,RES",Energy and Resources,24,1,Freshman Seminar,John Harte,27552,4,3,1,,1,,,,,,,,,,14
2015 Fall,Energy & Resources Group,"ENE,RES",Energy and Resources,C100,1,"Energy, Society",Daniel Kammen,27574,7,37,53,22,6,1,2,1,,,,,,,173
2015 Fall,Energy & Resources Group,"ENE,RES",Energy and Resources,C180,1,Ecol Econ History,Jalel Sager,27614,,3,5,2,2,,,,,,,,,,13
2015 Fall,Engineering Science,ENGIN,Engineering,7,1,Intr Computer Prog,Grace O'Connell,27803,4,27,32,17,20,21,9,9,3,2,2,3,17,,178
2015 Fall,Engineering Science,ENGIN,Engineering,15,1,Design Methodology,Dennis Lieu,27836,,10,8,,2,,,,,,,,,,20
2015 Fall,Engineering Science,ENGIN,Engineering,25,1,Vis For Des,Sara Mcmains,27842,3,26,21,23,20,22,8,5,6,,3,,,,137
2015 Fall,Engineering Science,ENGIN,Engineering,26,1,3 Dimen Mod Des,Kourosh Youssefi,27857,,66,12,7,14,7,,,,,,,1,,114
2015 Fall,Engineering Science,ENGIN,Engineering,27,1,Intro Manfctrng Tol,Hayden Taylor,27872,7,39,15,40,14,3,3,8,6,,,,,1,136
2015 Fall,Engineering Science,ENGIN,Engineering,45,1,Prop Of Matls,Lane Martin,27887,13,59,,13,55,,7,9,,1,5,,4,,167
2015 Fall,Engineering Science,ENGIN,Engineering,98,1,Directed Group Stdy,Ikhlaq Sidhu; Terry Johnson,27926,,,,,,,,,,,,,,1,88
2015 Fall,Engineering Science,ENGIN,Engineering,98,3,Directed Group Stdy,Connor Purviance; Terry Johnson,27932,,,,,,,,,,,,,,,17
2015 Fall,Engineering Science,ENGIN,Engineering,98,4,Directed Group Stdy,Alyssa Herperger; Terry Johnson,27935,,,,,,,,,,,,,,,17
2015 Fall,Engineering Science,ENGIN,Engineering,98,6,Directed Group Stdy,Kevin Korner; Terry Johnson,27939,,,,,,,,,,,,,,,18
2015 Fall,Engineering Science,ENGIN,Engineering,98,7,Directed Group Stdy,Terry Johnson; Venkata Paruchuri,28127,,,,,,,,,,,,,,,18
2015 Fall,Engineering Science,ENGIN,Engineering,98,8,Directed Group Stdy,Joshua Nowak; Terry Johnson,28130,,,,,,,,,,,,,,,17
2015 Fall,Engineering Science,ENGIN,Engineering,98,9,Directed Group Stdy,Shreyas Srinivasan; Terry Johnson,28133,,,,,,,,,,,,,,,18
2015 Fall,Engineering Science,ENGIN,Engineering,98,10,Directed Group Stdy,Terry Johnson; Wendy Wang,28136,,,,,,,,,,,,,,,16
2015 Fall,Engineering Science,ENGIN,Engineering,98,14,Directed Group Stdy,Sarah Hull; Terry Johnson,28148,,,,,,,,,,,,,,,18
2015 Fall,Engineering Science,ENGIN,Engineering,98,15,Directed Group Stdy,Jing Chen; Terry Johnson,28149,,,,,,,,,,,,,,,21
2015 Fall,Engineering Science,ENGIN,Engineering,98,16,Directed Group Stdy,Harish Shanker; Terry Johnson,27800,,,,,,,,,,,,,,,19
2015 Fall,Engineering Science,ENGIN,Engineering,115,1,Eng Thermodynamics,Alan Bolind,27940,,15,6,3,9,7,4,7,4,2,1,3,1,,65
2015 Fall,Engineering Science,ENGIN,Engineering,117,1,Meth Engr Analysis,Stephen Morris,27941,1,17,9,7,14,1,10,3,5,,,,1,,71
2015 Fall,Engineering Science,ENGIN,Engineering,120,1,Prin Of Engr Econom,Nicholas Gunther,27947,3,16,17,15,16,19,8,5,1,,,,,1,104
2015 Fall,Engineering Science,ENGIN,Engineering,128,1,Adv Engr Des Graph,Dennis Lieu,27956,2,22,8,7,7,4,,,,,,,,,50
2015 Fall,Engineering Science,ENGIN,Engineering,198,1,Directed Group Stdy,Ikhlaq Sidhu; Terry Johnson,27971,,,,,,,,,,,,,,2,87
2015 Fall,English,ENGLISH,English,R1A,1,Reading And Comp,Katherine Snyder; Mary Wilson,28153,,5,4,2,2,5,,,,,,,,,18
2015 Fall,English,ENGLISH,English,R1A,2,Reading And Comp,Katherine Snyder; Rosalind Diaz,28156,,2,7,3,2,1,1,,,,,1,,,17
2015 Fall,English,ENGLISH,English,R1A,3,Reading And Comp,Daniel Benjamin; Katherine Snyder,28159,,4,9,4,,,,,,,,,,,17
2015 Fall,English,ENGLISH,English,R1A,4,Reading And Comp,Katherine Snyder; Rachel Lewis,28162,,1,8,4,3,,1,,,,,,,,17
2015 Fall,English,ENGLISH,English,R1A,5,Reading And Comp,Joseph Mansky; Katherine Snyder,28165,,1,4,6,3,1,,,,,,,1,,16
2015 Fall,English,ENGLISH,English,R1A,6,Reading And Comp,Joseph Albernaz; Katherine Snyder,28168,,2,2,4,5,2,,1,,,,,,,16
2015 Fall,English,ENGLISH,English,R1A,7,Reading And Comp,Ismail Muhammad; Katherine Snyder,28171,,6,5,4,2,1,,,,,,,,,18
