Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 3/16/2015,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2015 Spring,Anthropology,ANTHRO,Anthropology,2,1,Intro To Archaeol,Christine Hastorf,2396,4,20,8,9,18,,1,1,1,,,,2,4,,2,,1,71
2015 Spring,Anthropology,ANTHRO,Anthropology,3AC,1,Intro Soc/Cult Ac,James Holston,2468,32,155,82,46,36,19,6,7,3,1,1,1,2,28,,5,,1,425
2015 Spring,Anthropology,ANTHRO,Anthropology,R5B,1,Reading & Comp,Corinne Hayden; Marlee Tichenor,2549,1,7,2,2,1,3,,1,,,,,,,,,,,17
2015 Spring,Anthropology,ANTHRO,Anthropology,R5B,2,Reading & Comp,Corinne Hayden; Olesya Shayduk-Immerman,2552,,9,2,2,,,1,,,,,,,,,,,,14
2015 Spring,Anthropology,ANTHRO,Anthropology,114,1,Hist/Anthro Thought,Saba Mahmood,2630,10,46,29,13,16,6,3,4,,,,,,1,,2,,1,131
2015 Spring,Anthropology,ANTHRO,Anthropology,115,1,Intro Med Anthro,Lawrence Cohen,2681,1,23,31,8,2,6,,1,,,,,,6,1,,,1,80
2015 Spring,Anthropology,ANTHRO,Anthropology,119,1,Med Anthro Topics,Nancy Scheper-Hughes,2707,3,8,4,,,1,,,,,,,,,,,,,16
2015 Spring,Anthropology,ANTHRO,Anthropology,121C,1,Hist Artifact/Analy,Laurie Wilkie,2708,4,8,1,1,,,,1,,,,,,1,,,,,16
2015 Spring,Anthropology,ANTHRO,Anthropology,124A,1,Arch South Pacific,Patrick Kirch,2713,7,3,3,3,3,1,4,,,,,,,3,,1,,,28
2015 Spring,Anthropology,ANTHRO,Anthropology,C125A,1,Arch East Asia,Kevin Gibbs,2717,1,4,3,1,3,,,,,,,,,,,,,,12
2015 Spring,Anthropology,ANTHRO,Anthropology,128,1,Spec Topics In Arch,Kimberly Christensen,2720,38,11,5,,2,,,1,,,,,,1,,,,2,60
2015 Spring,Anthropology,ANTHRO,Anthropology,128M,1,Topics:Arch/Method,Nicholas Tripcevich,2723,1,5,3,2,1,,,,1,,,,1,1,1,1,,,17
2015 Spring,Anthropology,ANTHRO,Anthropology,129A,1,Prehistoric Art,Timothy Gill,2729,,6,3,4,1,,,,,,,,,,,,,,14
2015 Spring,Anthropology,ANTHRO,Anthropology,137,1,Energy/Cult/Soc Org,Melissa Hatmaker,2738,6,17,5,11,10,7,6,2,7,,3,,5,9,,7,,,95
2015 Spring,Anthropology,ANTHRO,Anthropology,C147B,1,Sexuality Culture,Fouzieyha Towghi,2747,3,9,1,1,,,,,,,,,,2,,,,1,17
2015 Spring,Anthropology,ANTHRO,Anthropology,149,1,Psychological Anth,Stefania Pandolfo,2750,12,28,8,8,2,1,3,,,,,,,7,,,,2,71
2015 Spring,Anthropology,ANTHRO,Anthropology,156,1,Anthro Contemporary,Paul Rabinow,2765,3,10,12,6,10,1,,,,,,,,,,1,,,43
2015 Spring,Anthropology,ANTHRO,Anthropology,162,1,Topics In Folklore,Jeremiah Gillan,2767,1,4,4,3,3,,,,,,,,,,,,,1,16
2015 Spring,Anthropology,ANTHRO,Anthropology,169C,1,Ling Anthr Method,William Hanks,2768,2,5,2,1,,1,,1,,,,,,,,,,1,13
2015 Spring,Anthropology,ANTHRO,Anthropology,170,1,China,Xin Liu,2777,,6,10,10,4,,,1,1,,,,,6,,4,,,42
2015 Spring,Anthropology,ANTHRO,Anthropology,181,1,Middle East & Islam,Fouzieyha Towghi,2780,,7,3,1,,,1,,,,,,,2,,,,,14
2015 Spring,Anthropology,ANTHRO,Anthropology,189,3,Spec Top:Soc/Cult,Charles Hirschkind,2789,3,9,,1,4,,3,1,,,,,1,1,,,,,23
2015 Spring,Anthropology,ANTHRO,Anthropology,189A,1,Topics:Culture Area,Aihwa Ong,2792,,7,10,,1,4,1,,,,,,,,,,,,23
2015 Spring,Anthropology,ANTHRO,Anthropology,189A,3,Topics:Culture Area,Daniel Fisher,2798,1,1,1,3,2,1,,1,,,,,1,1,,,,1,13
2015 Spring,Architecture,ARCH,Architecture,100B,1,Fund Of Arch Design,Gerard Creedon,3674,,5,12,28,24,12,4,7,2,,,,4,1,,2,,1,102
2015 Spring,Architecture,ARCH,Architecture,100D,1,Arch Design Iv,Lisa Iwamoto,3737,1,6,3,4,2,1,,,1,,,,,,,,,,18
2015 Spring,Architecture,ARCH,Architecture,100D,2,Arch Design Iv,Ajay Manthripragada,3740,,2,2,3,3,1,,1,1,,,,,,,,,,13
2015 Spring,Architecture,ARCH,Architecture,100D,3,Arch Design Iv,Rene' Davids,3743,1,1,7,4,,,,,,,,,,,,,,,13
2015 Spring,Architecture,ARCH,Architecture,100D,4,Arch Design Iv,Mark Anderson,3746,,5,5,,1,,,1,,,,,,,,,,,12
2015 Spring,Architecture,ARCH,Architecture,102B,1,Capstone Project,Raveevarn Choksombatchai,3749,,2,3,4,2,,1,,,,,,,1,,,,1,14
2015 Spring,Architecture,ARCH,Architecture,140,1,Energy & Environ,Gail Brager; Stefano Schiavon,3785,3,13,22,19,35,15,11,7,3,,,,3,6,,,,,137
2015 Spring,Architecture,ARCH,Architecture,160,1,Intro Construction,Brendon Levitt,3812,,11,51,13,1,,,,,,,,1,2,,,,,79
2015 Spring,Architecture,ARCH,Architecture,198BC,1,Directed Group Stud,C Crysler; Catherine Covey,3920,,,,,,,,,,,,,,12,,1,,,13
2015 Spring,Architecture,ENV DES,Environmental Design,1,1,Intro To Env Des,Nicholas De Monchaux,28653,,15,11,21,15,6,2,2,,,,,1,3,,,,,76
2015 Spring,Architecture,ENV DES,Environmental Design,R3B,1,R & C In Env Des,Renee Chow; Sharone Tomer,28668,1,4,1,2,1,2,2,,,,,,,,,,,1,14
2015 Spring,Architecture,ENV DES,Environmental Design,4A,1,Design And Activism,Laura Crescimano; Ronald Rael; Walter Hood,28671,,48,20,7,2,4,2,,,,,,,,,,,,83
2015 Spring,Architecture,ENV DES,Environmental Design,4C,1,Future Ecologies,Jennifer Wolch; Kristina Hill; M Ubbelohde,28674,,30,22,11,5,1,1,1,,,,,,,,,,,71
2015 Spring,Architecture,ENV DES,Environmental Design,11A,1,Intro Vis Rep Draw,Darell Fields,28677,,,3,3,11,4,2,2,1,,,,2,,,,,3,31
2015 Spring,Architecture,ENV DES,Environmental Design,11B,1,Intro To Design,William Atwood,28692,1,8,6,12,5,1,,,,,,,,,,,,,33
2015 Spring,Architecture,ENV DES,Environmental Design,98,3,Directed Group Stdy,Arami Matevosyan; Keith Plymale,28713,,,,,,,,,,,,,,10,,3,,,13
2015 Spring,Architecture,ENV DES,Environmental Design,100,1,The City,Marco Cenzatti,28716,18,61,30,9,12,5,1,,,,,,,15,,2,,,153
2015 Spring,Architecture,ENV DES,Environmental Design,101A,1,Short Compositions,Raymond Lifchez,28737,1,9,,,,,,,,,,,,,,,,,10
2015 Spring,Architecture,ENV DES,Environmental Design,C169B,1,"Am Landscape,1900--",Paul Groth,28740,2,12,7,4,4,6,2,2,1,,,,,3,,1,,,44
2015 Spring,Architecture,VIS STD,Visual Studies,185X,1,Word And Image,Anthony Dubovsky,4253,2,7,3,2,1,,,,,,,,,2,,,,,17
2015 Spring,Architecture,VIS STD,Visual Studies,187A,1,Freehand Drawing,Jean Bourdier,4256,3,3,3,4,3,,,,,,,,,,,1,,,17
2015 Spring,Art Practice,ART,Art Practice,8,1,Intro Vis Thinking,John Mcnamara,4403,11,34,4,1,2,,,,,,,,,2,,1,,,55
2015 Spring,Art Practice,ART,Art Practice,12,1,Lang Of Draw,Masako Miki,4415,7,12,,,,,,,,,,,,1,,,,,20
2015 Spring,Art Practice,ART,Art Practice,13,1,Lang Of Painting,John Mcnamara,4421,,22,1,,,,,,,,,,,,,,,,23
2015 Spring,Art Practice,ART,Art Practice,13,2,Lang Of Painting,Craig Nagasawa,4424,,17,,,,,,,,,,,1,,,,,,18
2015 Spring,Art Practice,ART,Art Practice,14,1,Lang Of Sculpture,Brody Reiman,4427,,7,4,,,,,,,,,,,,,,,,11
2015 Spring,Art Practice,ART,Art Practice,14,2,Lang Of Sculpture,Erik Scollon,4430,1,4,8,4,1,,,,,,,,,,,,,,18
2015 Spring,Art Practice,ART,Art Practice,W23AC,1,Data Arts,Greg Niemeyer,4433,14,13,,,3,,,,,,,,,3,,1,,2,36
2015 Spring,Art Practice,ART,Art Practice,102,1,Approaches To Ptng,Craig Nagasawa,4496,3,15,,,,,,,,,,,,,,,,,18
2015 Spring,Art Practice,ART,Art Practice,102,2,Approaches To Ptng,James Pitt,4499,4,13,,,,,,,,,,,,1,,,,,18
2015 Spring,Art Practice,ART,Art Practice,117,1,Drawing Composition,Aida Gamez,4502,5,4,9,2,,1,,,,,,,,,,,,,21
2015 Spring,Art Practice,ART,Art Practice,118,1,Figure Drawing,Indira Morre,4505,10,7,2,1,,1,,,,,,,1,,,,,,22
2015 Spring,Art Practice,ART,Art Practice,119,1,Gpca,Allan Desouza,4508,,15,19,6,2,,,,,,,,,,,,,,42
2015 Spring,Art Practice,ART,Art Practice,120,1,App To Prntmg Intag,Randy Hussong,4511,,11,3,3,,,,,,,,,,,,,,,17
2015 Spring,Art Practice,ART,Art Practice,123,1,Screenprinting,Randy Hussong,4514,1,10,2,3,1,,,,1,,,,,,,,,,18
2015 Spring,Art Practice,ART,Art Practice,132,1,App To Sculp Ceram,Erik Scollon,4517,,5,10,2,1,,,,,,,,,1,,,,,19
2015 Spring,Art Practice,ART,Art Practice,138,1,Installations,Brody Reiman,4520,5,8,3,,,,,,,,,,,,1,,,,17
2015 Spring,Art Practice,ART,Art Practice,141,1,Temporal Structures,Anne Walsh,4523,,6,4,1,1,,,1,,,,,,,,,,,13
2015 Spring,Art Practice,ART,Art Practice,171,1,Digital Video,Azin Seraj,4534,,11,2,1,,,1,,,,,,1,,,,,,16
2015 Spring,Art Practice,ART,Art Practice,178,1,Game Design Methods,Greg Niemeyer,4538,7,21,3,,,,,,,,,,,,,,,,31
2015 Spring,Art Practice,ART,Art Practice,180,1,Advanced Digital Ph,Allan Desouza,4541,,4,13,1,,,,,,,,,1,,,,,,19
2015 Spring,Art Practice,ART,Art Practice,185,1,Sn Projects,Indira Morre,4544,3,10,1,,,,,,,,,,1,,,,,,15
2015 Spring,Art Practice,ART,Art Practice,185,2,Sn Projects,Anne Walsh,4547,3,3,3,3,,,,1,,,,,,,,,,1,14
2015 Spring,Art Practice,ART,Art Practice,196,1,Bridging The Arts,Elise Putnam,4661,,10,2,,,1,,,,,,,,1,,,,,14
2015 Spring,Astronomy,ASTRON,Astronomy,3,1,Modern Cosmology,Leo Blitz,5903,1,2,4,4,2,,2,,1,,,,,21,,3,,1,41
2015 Spring,Astronomy,ASTRON,Astronomy,7B,1,Intro Astrophysics,Eugene Chiang,5906,3,9,3,7,7,5,,3,,,1,,3,,,1,,,42
2015 Spring,Astronomy,ASTRON,Astronomy,C10,1,General Astronomy,Alexei Filippenko,5915,37,86,51,49,59,15,7,15,4,1,,,,236,,24,,1,585
2015 Spring,Astronomy,ASTRON,Astronomy,98,1,Directed Group Stdy,James Graham,5996,,,,,,,,,,,,,,18,,5,,,23
2015 Spring,Astronomy,ASTRON,Astronomy,121,1,Radio Astronomy Lab,Carl Heiles,6014,5,4,6,2,2,,,,,,,,,,,,,,19
2015 Spring,Astronomy,ASTRON,Astronomy,C161,1,Rela Astro & Cosmo,Chung-Pei Ma,6017,,6,2,,3,6,2,1,2,,,,,,,,,,22
2015 Spring,Bioengineering,BIO ENG,Bioengineering,25,1,Careers In Biotech,Dorian Liepmann,6203,,,,,,,,,,,,,,167,,3,,,170
2015 Spring,Bioengineering,BIO ENG,Bioengineering,101,1,Instr Biology Med,Steven Conolly,6374,2,7,2,4,2,4,,1,1,,,,,,,,,,23
2015 Spring,Bioengineering,BIO ENG,Bioengineering,104,1,Bio Trans Phen,Terry Johnson,6386,2,19,25,6,8,6,2,1,1,,,,,1,,1,,,72
2015 Spring,Bioengineering,BIO ENG,Bioengineering,110,1,Biomed Phys For Eng,Sanjay Kumar,6413,,21,11,24,36,12,4,2,,,1,,,1,,,,,112
2015 Spring,Bioengineering,BIO ENG,Bioengineering,111,1,Func Bio Dev & Char,Seung-Wuk Lee,6422,8,7,,5,6,,,,,,,,,,,1,,,27
2015 Spring,Bioengineering,BIO ENG,Bioengineering,C112,1,Molec Biomec Cell,Mohammad Mofrad,6428,,4,3,2,1,,,,,,,,,,,,,,10
2015 Spring,Bioengineering,BIO ENG,Bioengineering,115,1,Cell Bio For Eng,Hayley Lam,6434,4,19,6,2,,,,,,,,,,,,,,1,32
2015 Spring,Bioengineering,BIO ENG,Bioengineering,116,1,Cell And Tissue Eng,Shyam Patel,6443,1,12,9,11,9,1,1,3,,,,,,1,,,,,48
2015 Spring,Bioengineering,BIO ENG,Bioengineering,121,1,Biomems & Med Dev,Luke Lee,6452,6,17,7,3,,,,,,,,,,2,,,,,35
2015 Spring,Bioengineering,BIO ENG,Bioengineering,121L,1,Biomems Bionano Lab,Byungrae Cho; Luke Lee,6461,1,8,3,,,,,,,,,,,,,,,,12
2015 Spring,Bioengineering,BIO ENG,Bioengineering,148,1,Bio Chem Syn Bio,John Dueber,6494,,2,3,5,5,3,,1,2,,1,,,1,,,,,23
2015 Spring,Bioengineering,BIO ENG,Bioengineering,151,1,Micro/Nano Bioe,Amy Herr,6497,,4,4,,1,1,1,,1,,,,,,,,,,12
2015 Spring,Bioengineering,BIO ENG,Bioengineering,168L,1,Prac Lt Microscopy,Daniel Fletcher,6509,2,7,3,3,4,,,,1,,,,,,,,,,20
2015 Spring,Bioengineering,BIO ENG,Bioengineering,198,28,Directed Group Stdy,John Dueber,6835,,,,,,,,,,,,,,46,1,,,,47
2015 Spring,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C116,1,Buddhism In China,Ryan Overbey,7659,1,3,2,,1,,1,,,,,,,4,,2,,,14
2015 Spring,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C128,1,Buddhism Contemp,Alexander Von Rospatt,7662,4,9,9,4,1,2,3,1,,,,,,5,,,,,38
2015 Spring,Business,UGBA,Business Admin-Undergrad,10,1,Principles Of Bus,Cristina Banks; John Briginshaw; Judy Hopelain; Omar Romero-Hernandez,7803,15,52,108,99,87,41,26,20,3,2,1,4,5,32,,2,,1,498
2015 Spring,Business,UGBA,Business Admin-Undergrad,96,1,Ld Spec Top Bus Adm,Terrance Odean,7853,5,32,15,17,4,3,,,,,,,,88,,5,,,169
2015 Spring,Business,UGBA,Business Admin-Undergrad,96,2,Ld Spec Top Bus Adm,Terrance Odean,8433,3,15,10,6,2,,,,1,,,,,70,,2,,,109
2015 Spring,Business,UGBA,Business Admin-Undergrad,98,1,Directed Group Stdy,Alan Ross,7854,,,,,,,,,,,,,,15,,1,,,16
2015 Spring,Business,UGBA,Business Admin-Undergrad,98,2,Directed Group Stdy,Brett Green,7857,,,,,,,,,,,,,,20,,1,,,21
2015 Spring,Business,UGBA,Business Admin-Undergrad,100,1,Business Comm,Arturo Perez-Reyes,7896,,1,4,6,1,1,,,,,,,,,,,,,13
2015 Spring,Business,UGBA,Business Admin-Undergrad,100,2,Business Comm,Krystal Thomas,7899,,5,14,10,2,,,,,,,,,,,,,,31
2015 Spring,Business,UGBA,Business Admin-Undergrad,100,3,Business Comm,Krystal Thomas,7902,,3,17,8,2,,,,,,,,,,,,,,30
2015 Spring,Business,UGBA,Business Admin-Undergrad,100,4,Business Comm,Ryan Sloan,7905,,4,17,9,1,,,,,,,,,,,,,,31
2015 Spring,Business,UGBA,Business Admin-Undergrad,100,5,Business Comm,Ericka Lutz,7908,,3,11,6,,,,,,,,,,,,,,,20
2015 Spring,Business,UGBA,Business Admin-Undergrad,100,6,Business Comm,Ericka Lutz,7911,,4,6,7,,,,,,,1,,,,,,,,18
2015 Spring,Business,UGBA,Business Admin-Undergrad,100,7,Business Comm,Daniel Himelstein,7914,,,19,9,,,,,,,,,,,,,,,28
2015 Spring,Business,UGBA,Business Admin-Undergrad,101A,1,Microeconomic Analy,Todd Fitch,7920,,10,22,1,4,4,,2,,,3,,,7,,1,,,54
2015 Spring,Business,UGBA,Business Admin-Undergrad,101B,1,Macroeconomics,David Levine,7926,,31,3,33,21,10,3,11,2,2,3,,1,1,,,,3,124
2015 Spring,Business,UGBA,Business Admin-Undergrad,101B,2,Macroeconomics,David Levine,7935,,27,10,26,18,12,4,6,,,,,,1,,1,,,105
2015 Spring,Business,UGBA,Business Admin-Undergrad,102A,1,Intro Fin Account,Tiffany Rasmussen,7944,,24,22,39,26,11,2,2,,,,,,11,,,,,137
2015 Spring,Business,UGBA,Business Admin-Undergrad,102B,1,Intro Manager Acct,Suneel Udpa,7950,,15,15,29,52,11,4,,,,,,,,,,,,126
2015 Spring,Business,UGBA,Business Admin-Undergrad,102B,2,Intro Manager Acct,Suneel Udpa,7959,,10,9,16,20,8,1,,,,,,,8,,,,,72
2015 Spring,Business,UGBA,Business Admin-Undergrad,102B,3,Intro Manager Acct,John Briginshaw,7968,2,15,21,9,11,3,1,,1,,,,1,6,,1,,,71
2015 Spring,Business,UGBA,Business Admin-Undergrad,103,1,Intro To Finance,Christine Parlour,7977,15,9,7,35,16,20,13,5,2,,1,,,8,,,,1,132
2015 Spring,Business,UGBA,Business Admin-Undergrad,103,2,Intro To Finance,Christine Parlour,7998,6,11,17,40,16,21,5,1,3,,3,,2,5,,,,3,133
2015 Spring,Business,UGBA,Business Admin-Undergrad,104,1,Sprdsheetmodeling,Andrew Shogan,8016,,59,6,13,20,5,4,1,7,,,,2,,,,,,117
2015 Spring,Business,UGBA,Business Admin-Undergrad,105,1,Leading People,Andreea Gorbatai,8040,4,17,30,35,17,4,2,,,,,,,22,,1,,,132
2015 Spring,Business,UGBA,Business Admin-Undergrad,105,2,Leading People,Andreea Gorbatai,8052,,19,35,37,24,7,7,,,,,,,9,,,,,138
2015 Spring,Business,UGBA,Business Admin-Undergrad,106,1,Marketing,Yuichiro Kamada,8064,24,17,56,39,37,13,,2,2,,,,,6,,1,,,197
2015 Spring,Business,UGBA,Business Admin-Undergrad,107,1,Soc & Pol Eth Env,Alan Ross,8085,2,28,42,50,31,12,6,,,,,,,32,,,,,203
2015 Spring,Business,UGBA,Business Admin-Undergrad,115,1,Competitivestrategy,Frank Schultz,8106,2,15,26,12,2,1,,,,,,,,5,,,,,63
2015 Spring,Business,UGBA,Business Admin-Undergrad,118,1,International Trade,Steven Wood,8108,,10,15,7,5,5,3,1,1,,,,,2,,,,,49
2015 Spring,Business,UGBA,Business Admin-Undergrad,119,1,Leading Strat Imple,Frank Schultz,8109,,8,11,4,,,,,,,,,,2,,,,,25
2015 Spring,Business,UGBA,Business Admin-Undergrad,120AA,1,Int Fin Acct 1,Tiffany Rasmussen,8112,,18,18,7,11,8,,,,,,,,5,,,,,67
2015 Spring,Business,UGBA,Business Admin-Undergrad,120AB,1,Int Fin Accnting 2,Francis Stanton,8121,5,15,7,,7,,,,,,,,,7,,1,,1,43
2015 Spring,Business,UGBA,Business Admin-Undergrad,120B,1,Adv Fin Accounting,Francis Stanton,8130,3,8,13,,3,1,,,,,,,,5,,,,,33
