"UGBA 160","UGBA",-82.55813953488372,18.039215686274517,5.677966101694904
"LATIN 1","LATIN",-76.0,38.8888888888889,18.02134646962236
"ITALIAN 2","ITALIAN",-73.33333333333333,-0.7352941176470562,-4.442771084337358
"ENGIN 45","ENGIN",-72.5,30.257801899592934,1.9820083375996325
"CLASSIC 17B","CLASSIC",-70.58823529411765,85.45454545454544,15.238095238095223
"CLASSIC 28","CLASSIC",-70.05494505494505,1.2913604939345158,-5.3844362688026965
"THEATER 11","THEATER",-68.75,-22.758620689655178,-6.946688206785144
"ART 12","ART",-68.33333333333333,9.090909090909095,5.5408970976253284
"CIVENG 155","CIVENG",-68.0,48.8095238095238,9.661697247706421
"ISF 100B","ISF",-66.66666666666667,-21.05263157894737,0.7674144037780652
"ENGLISH 133T","ENGLISH",-66.66666666666667,68.75,-5.835962145110395
"UGBA 178","UGBA",-66.30434782608695,70.86999022482894,10.490392139813927
"ENVDES 11A","ENVDES",-66.26506024096386,-80.23809523809524,-22.96959960454771
"JAPAN 100B","JAPAN",-65.67164179104478,3.5748792270531293,1.159178037391666
"INDENG 180","INDENG",-64.51612903225806,-45.45454545454546,-8.467317806160795
"VISSTD 187A","VISSTD",-64.44444444444444,-27.67857142857143,-2.032674772036476
"MUSIC 50","MUSIC",-64.28571428571429,-12.499999999999995,-0.552712384851582
"HISTORY 103D","HISTORY",-64.28571428571429,1.818181818181826,3.703703703703703
"ANTHRO 162","ANTHRO",-64.28571428571429,-3.0769230769230838,2.355343771272977
"JAPAN 10B","JAPAN",-64.15094339622641,7.2874493927125625,1.9889423422129584
"SCANDIN 125","SCANDIN",-64.0,11.111111111111109,10.308864821500173
"LINGUIS 1B","LINGUIS",-64.0,-30.555555555555557,-3.9156191301834826
"CIVENG 165","CIVENG",-63.63636363636363,-6.603773584905654,0.30120481927713233
"CELTIC 128","CELTIC",-62.96296296296296,-32.49999999999999,-6.420454545454532
"VIETNMS 100B","VIETNMS",-62.5,-5.555555555555558,1.2424565140219992
"JAPAN 7B","JAPAN",-61.76470588235294,-16.971916971916972,-7.440293040293025
"JAPAN 132","JAPAN",-61.111111111111114,-11.836734693877554,-4.187366926898518
"KOREAN 100B","KOREAN",-60.0,-3.2258064516129044,-1.1931394481730309
"CELTIC 129","CELTIC",-58.333333333333336,-16.000000000000007,-7.530186608122948
"CHINESE 7B","CHINESE",-58.333333333333336,-22.85714285714286,-8.95080023710729
"FILM 151","FILM",-58.064516129032256,2.197802197802179,6.6492186314671535
"RELIGST 190","RELIGST",-56.962025316455694,-4.325259515570942,-2.6769026708736026
"MUSIC 74","MUSIC",-56.25,14.28571428571429,0.1647446457990256
"AMERSTD H195","AMERSTD",-56.25,5.494505494505489,8.081060795596697
"PORTUG 101B","PORTUG",-56.09756097560975,18.10699588477366,0.76876467469517
"UGBA 196","UGBA",-56.09756097560975,35.24305555555556,4.463887876210176
"ELENG 140","ELENG",-55.88235294117647,25.925925925925917,4.843205574912879
"THEATER 151B","THEATER",-55.55555555555556,31.250000000000014,8.79682179341655
"CIVENG 60","CIVENG",-55.55555555555556,-51.78571428571429,-15.584415584415595
"ENVDES 11B","ENVDES",-54.794520547945204,44.26877470355732,9.048228766538637
"LINGUIS 5","LINGUIS",-54.76190476190476,-51.293487957181085,-11.712828504639791
"FILM 108","FILM",-54.45544554455446,-5.35982008995502,-3.9362932202757723
"PSYCH 140","PSYCH",-54.435483870967744,-63.42182890855457,-6.025009473285351
"UGBA 152","UGBA",-54.21686746987952,-8.660287081339716,-2.22988465510299
"UGBA 119","UGBA",-54.0,58.8628762541806,19.474811538568563
"MESTU 150","MESTU",-53.125,-41.81818181818181,-9.337958947672748
"PORTUG 102","PORTUG",-52.17391304347826,34.41558441558442,7.800294350730215
"UGBA 126","UGBA",-52.054794520547944,41.29032258064516,3.372383985441315
"CIVENG 175","CIVENG",-51.851851851851855,-23.84615384615385,-2.869711795419984
"NESTUD 155","NESTUD",-51.724137931034484,79.52380952380952,8.92502130076685
"VIETNMS 1B","VIETNMS",-51.21951219512195,1.234567901234569,-0.4848203221809273
"ELENG 143","ELENG",-51.111111111111114,117.32954545454545,12.367720774800443
"LEGALST 190","LEGALST",-50.64935064935065,42.38975817923187,5.4303430470022995
"KOREAN 10BX","KOREAN",-50.0,1.639344262295076,-1.1632270168855587
"MUSIC 49B","MUSIC",-50.0,0.0,0.22421524663677048
"LDARCH 121","LDARCH",-50.0,-42.857142857142854,-23.63067292644757
"JAPAN 159","JAPAN",-50.0,84.61538461538463,11.33333333333332
"POLSCI 1","POLSCI",-49.107142857142854,7.553093259464447,1.6067160639370779
"EPS 39A","EPS",-48.93617021276596,20.95588235294117,-5.306469920544822
"UGBA 102A","UGBA",-48.78048780487805,-41.68212739641311,-5.2303247200971885
"NUSCTX 194","NUSCTX",-48.38709677419355,10.714285714285717,5.263157894736847
"AFRICAM 156AC","AFRICAM",-48.214285714285715,9.717868338557988,6.539833531510098
"CHICANO 159","CHICANO",-47.69230769230769,-46.47058823529412,-12.010503345243515
"ENGLISH 131","ENGLISH",-47.57281553398058,-15.776815776815774,-3.4609996250912554
"KOREAN 1BX","KOREAN",-46.666666666666664,-15.948275862068966,-6.607672742687568
"ELENG 105","ELENG",-46.478873239436616,-35.32388663967612,-2.399813606710166
"ENGLISH 143A","ENGLISH",-46.42857142857143,0.0,0.30603060306031393
"ART 8","ART",-45.833333333333336,2.7972027972027993,1.0187667560321823
"SLAVIC R5A","SLAVIC",-45.16129032258065,39.446366782006926,4.274582967515381
